codigo,nome,municipio,uf,area
3552403004,Ar4 - Administração Regional Da Área Cura,Sumaré,SP,12.2962
3552403002,Ar2 - Administração Regional De Nova Veneza,Sumaré,SP,20.1385
35095068,Castelo,Campinas,SP,11.8356
35095076,PUCCamp (Roseira),Campinas,SP,15.6622
35095086,Campo Belo (Cidade Singer),Campinas,SP,10.9432
3552403000,Sumaré (Demais Setores),Sumaré,SP,80.3867
35095091,Complexo Delta,Campinas,SP,15.4815
35095088,Rural Friburgo,Campinas,SP,41.0742
35095093,Amarais,Campinas,SP,10.8662
35095069,IAC (Exército),Campinas,SP,22.1342
35095077,Rural Mata Santa Genbra,Campinas,SP,26.6937
35095087,Viracopos,Campinas,SP,10.9441
3519071028,Rp 6-28,Hortolândia,SP,0.983665
35095092,Aparecidinha,Campinas,SP,16.5339
3533403000,Nova Odessa (Demais Setores),Nova Odessa,SP,42.7369
3533403016,Região Administrativa 16,Nova Odessa,SP,1.30902
3536505014,Poço Fundo,Paulínia,SP,4.64953
3552403006,Ar6 - Administração Regional Do Picerno,Sumaré,SP,7.08164
3519071,Hortolândia (Demais Setores),Hortolândia,SP,5.21959
3536505000,Paulínia (Demais Setores),Paulínia,SP,15.0906
