codigo,nome,categoria,faixa_preco,endereco,municipio,uf,codigo_bairro
1610963479202724,Armazém Amgarten,"Bakery, Restaurant",3,"Estrada do Sapezal, 51, 13337-100 Indaiatuba",Indaiatuba,SP,
106347629559052,Chácara Vale Da Serra,"Buffet Restaurant, Arts & Entertainment",4,"Rua José da Silva Bueno, 25, 13212-240 Jundiaí",Jundiaí,SP,
1041692465895996,Delícia Mineira,Grocery Store,1,"Rua: Rio Branco, 535, 13320-270 Salto",Salto,SP,
1477219955858920,Natural Express,Grocery Store,1,"rua joaquim gomes, Hortolândia",Hortolândia,SP,3519071005
503683336380604,Mazieiro Adega De Vinhos,"Wine Bar, Shopping & Retail, Wine, Beer & Spirits Store",2,26600-000 Jundiaí,Jundiaí,SP,
761267450648298,Néia Bolos e Doces,Dessert Shop,3,"rua da Lealdade 179, 13470471 Americana",Americana,SP,
979332882093115,Evs Qualita,Restaurant,1,"Rua Antonio Pedro , 260, 13920-000 Pedreira",Pedreira,SP,
203541483018902,Graal 125 Sul,"Restaurant, Gas Station, Cafeteria",4,"Rodovia dos Bandeirantes, KM-125 Cx Pt, 11, 13450-027 Santa Bárbara Do Oeste, Sao Paulo, Brazil",Santa Bárbara do Oeste,SP,
1867682410161084,"Açaí, Tapioca & Cia.","Food Stand, Restaurant",1,"Av. Adherbal da Costa Moreira, 980, 13231320 Campo Limpo Paulista, Brazil",Campo Limpo Paulista,SP,
1489359127951765,Café Lounge,"Restaurant, Coffee Shop, Lounge",2,"Avenida Cillos, 3673, 13467600 Americana",Americana,SP,
1634389196887544,Quiosque Chopp Brahma Jaguariuna,"Sports Bar, Beer Garden, Fast Food Restaurant",2,"Rua Amazonas, 13820-000 Jaguariúna",Jaguariúna,SP,
1153075798121887,Sabores do Mundo Sorveteria & Doceria - Elias Fausto/ Centro,"Candy Store, Ice Cream Shop, Gelato Shop",1,"Siqueira Campos n. 70, Centro, 13350-000 Elias Fausto",Elias Fausto,SP,
459558070805600,Biroska Bar,Dive Bar,4,13240 Jarinu,Jarinu,SP,
1015612568459684,Flamis Kids,"Caterer, Arts & Entertainment, Party Entertainment Service",4,"Rua 15 de Novembro, 13450-044 Santa Bárbara Do Oeste, Sao Paulo, Brazil",Santa Bárbara do Oeste,SP,
342851832444743,Cachaçaria Brasilis,"Brazilian Restaurant, Bar",2,"Rua Graça Martins 8 - CENTRO, 13450-039 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
941395179327371,Panificadora Esquina Dos Pães,"Bakery, Restaurant, Dessert Shop",2,"Adherbal da Costa Moreira , 910 Jd Marsola, 13231190 Campo Limpo Paulista, Brazil",Campo Limpo Paulista,SP,
1594148190883265,Boteco sousa,Pub,2,"Rua quatro, 13190000 Monte Mor",Monte Mor,SP,
162842230790112,Padaria e Confeitaria Martinichi,"Bakery, Restaurant",2,"Rua Nicola Tarallo 146, 13290000 Louveira",Louveira,SP,
255420024505699,O Canto do Pinduka's - Lanchonete e Restaurante,"Family Style Restaurant, Diner, Fast Food Restaurant",2,"Al José Amstalden, 1247, 13331-100 Indaiatuba",Indaiatuba,SP,
380809625375431,Mister Pizzaria E Lanche,"Cafeteria, Pizza Place, Diner",1,"Rua Duque de Caxias, 13160-000 Artur Nogueira",Artur Nogueira,SP,
1865448687007535,Pizza Cake Delivery,"Pizza Place, Food Delivery Service",1,Limeira,Limeira,SP,
321309534553652,Bar do Índio,Pub,3,"Rua Benedita C Madeira, 13295-000 Itupeva",Itupeva,SP,
148760135201505,Doces David - Morungaba,"Coffee Shop, Shopping & Retail, Candy Store",2,"Rua Araujo Campos, 533 - Centro, 13260-000 Morungaba",Morungaba,SP,
749395181884887,Espetinho do Cleitão,"Pub, Beer Garden",1,"Rua: Azaléias N°650 B Bairro: Morada das Flores, 13825-000 Holambra",Holambra,SP,
247437008633513,Porto da Pizza,Pizza Place,2,"Av Campos Salles, 751, 13465590 Americana",Americana,SP,
400885966762278,Supermercado Maziero II,"Grocery Store, Shopping & Retail",2,"Rua Tupiniquins, 13457040 Santa Bárbara Do Oeste, Sao Paulo, Brazil",Santa Bárbara do Oeste,SP,
196798780362580,Churrascaria Boi Assado Tchê,"Steakhouse, Bar & Grill, Barbecue Restaurant",4,"Av Antônio Centurione Boer, 133, 13474-140 Americana",Americana,SP,
468202269942322,SORVETERIA BONDBOM,Ice Cream Shop,3,"Rua Sebastião Rodrigues 750, 13160000 Artur Nogueira",Artur Nogueira,SP,
210377929301282,Madame Candy,"Candy Store, Grocery Store",1,"R. Dr. Jorge Tibiriçá, 55 - Centro,, 13250-000 Itatiba",Itatiba,SP,
192164474459065,Food Fitness - Saladaria Delivery,"Health Food Restaurant, Grocery Store",1,"Rua Cícero Jones, 13450-440 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
538415919691600,Dona Nena - Restaurante e Marmitaria,"Food Delivery Service, Health Food Restaurant, Food & Beverage Company",1,"ALAMEDA DOM PEDRO II, 594 - JARDIM ALTO DE SANTA CRUZ, 13251510 Itatiba",Itatiba,SP,
758379584266209,Grupo Destro,"Restaurant Wholesaler, Wholesale & Supply Store, Cargo & Freight Company",2,"Av. André Costa, 2002, 13214-730 Jundiaí",Jundiaí,SP,
1571619596434589,Pizza Dell'Arte - Itatiba Mall,Pizza Place,2,"Avenida José Maurício de Camargo, 13257-420 Itatiba",Itatiba,SP,
1011061458943745,Pesqueiro Vale Verde Monte Mor,"Beer Bar, Turkish Restaurant, Tour Agency",2,"Sítio prima vera monte mor, Monte Mor",Monte Mor,SP,
1545324495773451,Delícias do Açaí Americana - Avenida Iacanga,"Cafeteria, Dessert Shop, Grocery Store",2,"Avenida Iacanga, 1100, 13468-000 Americana",Americana,SP,
385247551613174,Prosit Pub Music Bar,"Pub, Brewery",1,"Avenida Adherbal da Costa Moreira, 1128, 13230-200 Campo Limpo Paulista, Brazil",Campo Limpo Paulista,SP,
120531124703164,Rancho Bem Brasil,"Brazilian Restaurant, Arts & Entertainment, Park",1,13475-730 Americana,Americana,SP,
738752916175520,Viana Drinks,"Pub, Fast Food Restaurant",1,13454-355 Santa Bárbara d'Oeste,Santa Bárbara d'Oeste,SP,
598135886905646,Cravo Canela S,Grocery Store,1,"Rua dos Florais, 13476-406 Americana",Americana,SP,
282535865243377,Boteco Do Mariao,"Bar, Cafeteria, Bar & Grill",2,"Rua Augusto Lucio, 13350-000 Elias Fausto",Elias Fausto,SP,
530122793816021,Smoke Buddies Sp,"Fast Food Restaurant, Just For Fun",1,"Rua Sete de Setembro, 13330-350 Indaiatuba",Indaiatuba,SP,
1760571667543002,Garden Food & Drinks,"Bar, Sandwich Shop, Just For Fun",1,"Rua Antonio Serafim Petean, 2280, 13920000 Pedreira",Pedreira,SP,
411505312253183,Bistecão Do Dito,"Steakhouse, Barbecue Restaurant",2,"Estrada Itatiba-Vinhedo km 6, 13257-721 Itatiba",Itatiba,SP,
1569373473341058,Padaria Romera & Romera,"Restaurant, Bakery, Cafe",1,"Rua Comendador Xisto Araripe Paraiso, 120, 13295000 Itupeva",Itupeva,SP,
1684666905152855,Bacon of Thrones,"Burger Restaurant, Fast Food Restaurant",2,"Rua Luiz Antônio Bertaglia, 221, 13473-720 Americana",Americana,SP,
599115020165451,Guga Lanches,"Fast Food Restaurant, Grocery Store",1,"Rua Dorival Pradela, 60, 13487137 Limeira",Limeira,SP,
1611309395828098,Valetes Burger,Burger Restaurant,2,"Rua Monsenhor Domingos Herculano Casarin,134, 13.290-000 Louveira",Louveira,SP,
1055453081164629,Sorella,Italian Restaurant,2,"Rua General Osório, 444, 13450-026 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
899267186781148,Sorveteria À Tropicana,"Ice Cream Shop, Food & Beverage Company",3,"Rua Barbara Isaias 1382, 13457125 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
272591199572641,Gods Life Decoração Buffet & Restaurante,"Caterer, Buffet Restaurant",2,"Rua: Carolina Pontin Pinto 122 Jd Santa Izabel, 13190-000 Monte Mor",Monte Mor,SP,
751209624998956,Marcos Lanches,"Cafeteria, Grocery Store, Shopping & Retail",2,"R:Amazonas n-118, 13902180 Amparo, Sao Paulo, Brazil",Amparo,SP,
226231700910389,Tchê do Peixe 3 Jundiaí,"Brazilian Restaurant, Seafood Restaurant",1,"Rua Várzea Paulista 1919, 13203000 Jundiaí",Jundiaí,SP,
382890828507782,Madony Kit para Festas,"Dessert Shop, Wedding Planning Service, Grocery Store",2,"Rua Artur Nogueira. nº 99 Residencial do Bosque, 13802379 Mogi Mirim",Mogi Mirim,SP,
1723142994635340,Supermercado Montico,Grocery Store,2,"Rua Pereira Cardoso, 182, 13260-000 Morungaba",Morungaba,SP,
193307024071460,NYC Burger,"Burger Restaurant, Fast Food Restaurant, Cafeteria",2,"Rodovia dos Bandeirantes, 56,5 sentido SP, 13201-009 Jundiaí",Jundiaí,SP,
403482929712091,Iate Clube De Campinas,"Food & Beverage, Neighborhood, Home",2,"av:Santino Faraone 1820, 13475-624 Americana",Americana,SP,
497705930255866,Pezão Bar Indaiatuba,"Seafood Restaurant, Fish & Chips Restaurant, Sports Bar",3,"Avenida Presidente Kennedy, 1569, 13334170 Indaiatuba",Indaiatuba,SP,
1640836689473536,Rasta Corporation,"Convenience Store, Accessories, Tobacco Store",2,"Rua Coronel Camilo Pires - nº 453 - CENTRO, 13250-270 Itatiba",Itatiba,SP,
146606532146670,Armazém Da Fazenda Itatiba,"Brazilian Restaurant, Bar & Grill, Buffet Restaurant",2,"Av. Marechal Castelo Branco, 382 Bairro do Engenho Itatiba - São Paulo, 13255-000 Itatiba",Itatiba,SP,
294393444348104,Bomba's Bar II,Bar,2,"R:Francisco Cabrino, 704 (Próximo a Lagoa dos Pássaros), 13.160-000 Artur Nogueira",Artur Nogueira,SP,
207484465956648,Uai Restaurante Mineiro Jundiai Sp,"Brazilian Restaurant, Family Style Restaurant, Fast Food Restaurant",2,"Avenida Quatorze de Dezembro, 10, 13206-010 Jundiaí",Jundiaí,SP,
1734047623484748,Café Colonial - Bella Mattina,"Breakfast & Brunch Restaurant, Food & Beverage Company",2,"Rua Roberto Carbonari, 135, 13213-256 Jundiaí",Jundiaí,SP,
635114989846457,Cafeteria Pérola Mineira,"Coffee Shop, Grocery Store",2,"Av. Benedicto Castilho de Andrade, 804 - Pq Eloy Chaves, 13212-070 Jundiaí",Jundiaí,SP,
1200350600047918,Armazém Amparo,"Wine Bar, Wine, Beer & Spirits Store, Warehouse",1,"Rua Capitão Alceu Vieira, 135 (Próximo a Escola Estadual Luiz Leite), 13900-325 Amparo, Sao Paulo, Brazil",Amparo,SP,
113357708745458,Miami Burguer,"Food Stand, Burger Restaurant",3,"Praça Luiz Geraldo Mirandola, 13475-010 Americana",Americana,SP,
1674895556097922,Pac - Man Hamburguer Artesanal,"Cafeteria, Burger Restaurant",2,"R. Dona Olivia Bagatin de Freitas 300, 13920000 Pedreira",Pedreira,SP,
289437051441993,Tabacaria Mirim,"Convenience Store, Tobacco Store, Grocery Store",1,"Avenida Antônio Raymundo Oliveira, 13216645 Jundiaí",Jundiaí,SP,
1398064087142787,Espetaria Bovinos Jundiai,"Grocery Store, Bar & Grill",2,"RUA JOSÉ DO PATRONÍCIO,450, 13202460 Jundiaí",Jundiaí,SP,
950159408339912,Grandão Lanches,"Cafeteria, Shopping & Retail, Bar",2,"Av João Gonçalves dos Reis n 537, 13212-872 Jundiaí",Jundiaí,SP,
1038214816206521,Sabor Açai Várzea Paulista,"Cafeteria, Shopping & Retail",4,"Av. Fernão Dias Paes Leme 613, 13220001 Várzea Paulista",Várzea Paulista,SP,
768455569887568,Lanchonete e pizzaria das meninas,"Pizza Place, Food & Beverage Company",3,"João Antonio Consolin,70, 13260-000 Morungaba",Morungaba,SP,
383017978472555,Pizzaria Di Veneza,Pizza Place,1,"Rua Dr. Moacir do Amaral, 1070, 13150-000 Cosmópolis",Cosmópolis,SP,
351329931695935,Santana Lanches,"Grocery Store, Restaurant, Cafeteria",1,"Rua Arthur Worshec, 606, Vila Mariana, 13473-290 Americana",Americana,SP,
286792514778481,Recanto Olaria Velha,Restaurant,3,"Bairro Pires de Baixo, 13480970 Limeira",Limeira,SP,
1476816009010682,Baccos Bacco's,Restaurant,2,"Av. Palermo, 170, Nova Trieste, 13240-000 Jarinu",Jarinu,SP,
1658122844326028,Ponto Alto Rock Bar,"Pub, Beer Bar, Arts & Entertainment",2,"Rua Bruno de Sordi, 325, 13257-260 Itatiba",Itatiba,SP,
136719240172034,Empórium Gelatus,"Brewery, Shopping & Retail",1,"Rua Rio Branco, 107, 13904-020 Amparo, Sao Paulo, Brazil",Amparo,SP,
336878533100698,Restaurante Luiz Gonzaga,Family Style Restaurant,2,"Rod. Romildo Prado,Km 5,5 - Estrada Tereza Cestarolli -Bairro Luiz Gonzaga, Louveira",Louveira,SP,
634581366631419,Milk Shake & Companhia - Itupeva,"Gelato Shop, Cafeteria",1,"Avenida brasil, 607, 13295000 Itupeva",Itupeva,SP,
1801110630163490,Norba's Salto,Pizza Place,1,"Rua Estado de São Paulo, 236 - São Pedro e São Paulo, 13324-470 Salto",Salto,SP,
716464541777671,Deck Sport Bar,"Beer Garden, Sports Bar, Landmark & Historical Place",1,"Rua João Pessoa, 225, 13240000 Jarinu",Jarinu,SP,
1904002653163299,Milk Shake Mix SBO,Ice Cream Shop,1,"Joao Lino, 313, 13450-033 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
1665778063713561,Pizzaria e Choperia Avenida,Pizza Place,4,"Rua Tomaz Jasso, 938, 13820000 Jaguariúna",Jaguariúna,SP,
1559462784299285,Buffet Vânia Sala,Restaurant,2,"Avenida da Saudade, 13150000 Cosmópolis",Cosmópolis,SP,
922244114530396,Sunset Café,"Dessert Shop, Coffee Shop",2,"Rua dos Expedicionários 1035, 13150000 Cosmópolis",Cosmópolis,SP,
519330594893015,Ichiro - Temakeria & Sushi Bar,Sushi Restaurant,2,"Rua Maria Angela, 390., 13820000 Jaguariúna",Jaguariúna,SP,
156507174412731,Graal 67,"Buffet Restaurant, Fast Food Restaurant, Gas Station",2,"Rodovia SP-330, km 67, 13213-183 Jundiaí",Jundiaí,SP,
176326925911652,Churrascaria Da Fonte II,"Cafeteria, Barbecue Restaurant, Steakhouse",2,"Rodovia do Açúcar Km 36, 13322-070 Salto",Salto,SP,
440647396011524,Cebola e Salsa Restaurante,Restaurant,1,"Rua José Cristovam Cardoso, 1015 - Vila Claudia, 13480407 Limeira",Limeira,SP,
993852554076607,Burger Bros & CO Itatiba,"Burger Restaurant, Seasonal Store",1,"Av. Pref. José Maurício de Camargo, 400, Itatiba",Itatiba,SP,
1079432472103560,Praça Brasil Gourmet,"Restaurant, Pub, Just For Fun",2,"Av. Brasil, 18125-000 Americana",Americana,SP,
541324539366906,Flamy Cosmópolis,"Dessert Shop, Coffee Shop, Grocery Store",2,"Rua Antônio Carlos Nogueira, 809, Centro, 13150-000 Cosmópolis",Cosmópolis,SP,
508349876033323,Mil Doces Atacado e Varejo,"Candy Store, Grocery Store",2,"Rua Franklin Willian Franz, 197 - Jardim Ermida II, 13212-145 Jundiaí",Jundiaí,SP,
661069813943499,Liban Delícias Árabes Indaiatuba,"Middle Eastern Restaurant, Fast Food Restaurant",2,"Rua Um, 13347-480 Indaiatuba",Indaiatuba,SP,
1503791039901246,Hugão Lanches,"Fast Food Restaurant, Grocery Store, Beer Garden",1,"Rua dos Expedicionários 247B Centro, 13930-000 Serra Negra",Serra Negra,SP,
460660937325548,Estância Churrascaria - Jundiaí,"Steakhouse, Barbecue Restaurant",2,"Avenida 14 de Dezembro, 1305, 13206-010 Jundiaí",Jundiaí,SP,
1391446187755725,Pit Dog Burguer e Grill,"Diner, Cafeteria, Grocery Store",1,"Avenida Vereador José Donato n° 334, 13315-000 Cabreúva",Cabreúva,SP,
317157105086383,Titio Lanches,"Pizza Place, Cafeteria",1,"Avenida Prefeito Abdo Najar, 13466-615 Americana",Americana,SP,
102218413510043,Açaí Brasil Americana,"Cafeteria, Ice Cream Shop, Grocery Store",1,"AÇAÍ DELIVERY 19 98978-9033, 13474130 Americana",Americana,SP,
1551217531836226,Pizzaria Geninho,"Pizza Place, Party Entertainment Service, Sports & Recreation",1,"avenida presidente costa e silva 392, 13920000 Pedreira",Pedreira,SP,
261226340571778,Churrascaria Rincão Gaucho,"Barbecue Restaurant, Pizza Place, Steakhouse",2,"Avenida Visconde de Indaiatuba, 870, 13338-010 Indaiatuba",Indaiatuba,SP,
370364746488925,Armazém Bar,"Restaurant, Cafeteria, Pub",3,"Rua Guaianazes 1635 - Santa Rita, 13457-093 Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
701571923191585,Frango Assado,"Brazilian Restaurant, Gas Station, Bar & Grill",4,"Rodovia SP-340, Km 129,, 13820-000 Jaguariúna",Jaguariúna,SP,
823161211096994,Batata lanches,"Cafeteria, Food & Beverage Company, Diner",1,"Rua Noruega 499 Jd. das Nações, 13322-161 Salto",Salto,SP,
170544659673426,Cascata do Vinho,"Wine Bar, Foodservice Distributor",1,"AV. CONEGO MANOEL ALVES, 455 JD. SÃO PAULO ( Proximo a UNICAMP), 13484-420 Limeira",Limeira,SP,
527105930719423,Kleber Lanches,"Restaurant, Pub",4,"Rua Maranhão, 13820-000 Jaguariúna",Jaguariúna,SP,
395535407278382,Lanchonete Distak,Restaurant,1,"Rua Alfredo Leopoldino de Campos, 13908-170 Amparo, Sao Paulo, Brazil",Amparo,SP,
395809730506748,Fábrica Brasil Kirin,"Brewery, Commercial & Industrial, Shopping & Retail",1,"Avenida Primo Schincariol 2300, 13312-250 Itu",Itu,SP,
1052310714840248,Pão Petisco Food Truck,Fast Food Restaurant,2,"Rua Campo do Pouso 826 - Centro, 13825000 Holambra",Holambra,SP,
1863188194002114,Basílico Cozinha Artesanal,Restaurant,2,"José Fontana, 16, 13901310 Amparo, Sao Paulo, Brazil",Amparo,SP,
1439438389668333,DISK DOG SABOR Mineiro,Diner,2,"RUA ANTONIO PINTO N 83, 13150-000 Cosmópolis",Cosmópolis,SP,
256236594582324,Lanchonete do Betinho,"Diner, Landmark & Historical Place",2,"rua José Bento da glória, 13487-136 Limeira",Limeira,SP,
1743556472557323,Açai + Sabor,"Grocery Store, Restaurant",2,"Av.José Maria Marques de Oliveira, 13322-070 Salto",Salto,SP,
149824701821444,Picanha & Cia,Brazilian Restaurant,4,"Rua Francisco Miguel, 278 Centro, 13230-001 Campo Limpo Paulista, Brazil",Campo Limpo Paulista,SP,
1109568839122569,Macerata Delivery,"Pizza Place, Bar",1,"Antônio Demarchi 301, 13214721 Jundiaí",Jundiaí,SP,
104498993219116,A Doçura,"Candy Store, Cupcake Shop, Restaurant",2,"Antonio Angelino Rossi, 337, 13348290 Indaiatuba",Indaiatuba,SP,
1396711890644047,Quiosque da Praça açai / milk shake,"Beer Garden, Ice Cream Shop, Grocery Store",1,"Praça Vinícius de Moraes, 13474-599 Americana",Americana,SP,
1739569106308389,Tô No Trabalho,Bar,1,"Avenida Doutor Lauro Correa da Silva, 5815, 13481-631 Limeira",Limeira,SP,
1564785473775100,Quiosque do Açaí,"Cafeteria, Sports Bar",1,"Praça dos Italianos, 02, 13260000 Morungaba",Morungaba,SP,
1026329087488497,Faceburguer Itatiba-Sp,"Fast Food Restaurant, Cafeteria, Food & Beverage Company",2,"Dr Aguiar Pupo  , 02, 13250-290 Itatiba",Itatiba,SP,
174021552722279,Point do Açai Itatiba,"Fast Food Restaurant, Ice Cream Shop",2,"av. marechal castelo branco s/n (Em frente ao Habib's), 13255-292 Itatiba",Itatiba,SP,
857876327612182,Toca do Peixe Sumaré-SP,"Restaurant, Bar, Arts & Entertainment",2,"Rua Emílio Leão Brambila, 206, 13.171-480 Sumaré",Sumaré,SP,3552403001
1405886983043131,Em'Goma,"Pub, Music Production Studio, Performance & Event Venue",1,"Av Prof Charles Keese Dodson nº875 - planalto do sol 2, Santa Bárbara d'Oeste",Santa Bárbara d'Oeste,SP,
115619625210776,Bella Pizza,"Pizza Place, Grocery Store",2,"Rua das Orquídeas n° 66, 13290-000 Louveira",Louveira,SP,
209346515906103,O Amarelinho Lanches.,"Cafeteria, Dessert Shop, Coffee Shop",2,"Filosofo Belloni Nº 11, 13905-683 Amparo, Sao Paulo, Brazil",Amparo,SP,
243207502448971,Moinho Bela Vista,Brazilian Restaurant,2,"Rod. João Ceccon, 293 KM 1 - Jd. Bela Vista, 13331-400 Indaiatuba",Indaiatuba,SP,
462877463752897,Enxuto,"Supermarket, Shopping & Retail",2,"Rua Monte Castelo, 289, 13150-000 Cosmópolis",Cosmópolis,SP,
1675177842725498,Elias Fausto,"Pub, Landmark & Historical Place, City",1,"sitio da familia, 13350-000 Elias Fausto",Elias Fausto,SP,
231396290256071,Dogão Lanches.,"Restaurant, Grocery Store, Arts & Entertainment",1,"Rua Santo Antonio 306, 13830-000 Santo Antônio de Posse",Santo Antônio de Posse,SP,
710054829079349,Disk Pizza Papas,"Pizza Place, Grocery Store",3,"R: Olegario Azevedo brandão, 13231-487 Campo Limpo Paulista, Brazil",Campo Limpo Paulista,SP,
634969533217271,Padaria Nonnos,"Dessert Shop, Bakery, Fast Food Restaurant",2,"RUA SOLIDAGOS ,199, 13825000 Holambra",Holambra,SP,
851750688297457,Giandas Bar,Bar,2,"Maestro José Bovolenta, 13213-080 Jundiaí",Jundiaí,SP,
929646547076046,Pizzaria Nogueirense,Pizza Place,1,"Rua Acácio Capato 154 Jardim Vista Alegre, 13160-000 Arthur Nogueira, Sao Paulo, Brazil",Arthur Nogueira,SP,
571809079615990,Dennys Restaurante Limeira,Restaurant,2,13480-470 Limeira,Limeira,SP,
1733103010304761,Bar da Prainha,"Bar, British Restaurant, Fish & Chips Restaurant",2,"Rua José Martins (Nossa Prainha), s/nº, 13825000 Holambra",Holambra,SP,
503722469713227,Tempero Caseiro Pedreira,Restaurant,1,"General Herbert Maya Vasconcelos, 70, 13920-000 Pedreira",Pedreira,SP,
138738149793600,Bugaloo Buffet Infantil,"Restaurant, Caterer, Event Planner",4,"Rua Ana Rocha Avelino, 107 - Jardim Paulista, 13456002 Santa Bárbara Do Oeste, Sao Paulo, Brazil",Santa Bárbara do Oeste,SP,
189654491225087,Kiosque Freitas Nosso Bar,"Diner, Beer Garden, Grocery Store",2,"Rua: Carmela Campari Sacilotto  esquina com Av. Europa, 13471-320 Americana",Americana,SP,
586884141401539,Ponto da Esfiha Salto,"Diner, Cafeteria, Cafe",1,"Rua Floriano Peixoto, 2725, Jardim das Nações, 13322 Salto",Salto,SP,
1518248801771870,Disk Marmitex Império,"Pizza Place, Food Delivery Service",1,"rua edgar chabregas, 13830000 Santo Antônio de Posse",Santo Antônio de Posse,SP,
1729935987251073,Padeiro Bar & Restaurante,"Burger Restaurant, Health Food Restaurant, Cafeteria",2,"Rua Peixoto Gomide, 157 Centro, 13900-000 Amparo, Sao Paulo, Brazil",Amparo,SP,
719670264813659,Rancho Do GANGO,"Cafeteria, Bar",1,"3023  Avenida Geraldo Azzoni, 13215-735 Jundiaí",Jundiaí,SP,
896058107176781,LOJÃO Hortifruti,"Fruit & Vegetable Store, Specialty Grocery Store, Market",1,"Avenida Iacanga 1505, 13468590 Americana",Americana,SP,
341483719322631,Recanto Feliz Eventos,"Caterer, Event Planner, Buffet Restaurant",1,"Avenida Humberto Cerezer, 2101, 13218711 Jundiaí",Jundiaí,SP,
257257511043276,Ponto de Encontro - Circulo Militar de Campinas,"Restaurant, Other",1,"Av. Getulio Vargas, Campinas",Campinas,SP,
762477617239154,Kiosque Roseira,"Restaurant, Grocery Store",1,"Av. Humberto Cereser, 13218-711 Jundiaí",Jundiaí,SP,
1543408172618556,Chocolates Americana,Candy Store,1,"Rua Cardeal, 13467-252 Americana",Americana,SP,
271704706532512,Frutas Rondon II,"Grocery Store, Shopping & Retail, Restaurant",1,"Rod. Engenheiro Constâncio Cintra KM 71, Bairro Mato dentro, 13201-009 Jundiaí",Jundiaí,SP,
265394240210939,Juba Kids Buffet,"Caterer, Party Entertainment Service, Event Planner",1,"Rua Carlos Chagas, 30 esquina com a Av. da Saudade Cordenonsi, 13472-531 Americana",Americana,SP,
380506415400064,Di Lanches,"Cafeteria, Food Truck, Restaurant",2,"Rua Farmacêutico Jacob Fanelli, 39, 13480-720 Limeira",Limeira,SP,
322242451235169,Janaina BOLOS,"Candy Store, Grocery Store",2,"São JudasTadeu 252, 13300-160 Itu",Itu,SP,
